date,close,N_price
2020/8/24,14755,14.755
2020/8/25,14590,14.59
2020/8/26,14765,14.765
2020/8/27,14650,14.65
2020/8/28,14695,14.695
2020/8/31,14635,14.635
2020/9/1,14650,14.65
2020/9/2,14580,14.58
2020/9/3,14420,14.42
2020/9/4,14390,14.39
2020/9/7,14600,14.6
2020/9/8,14595,14.595
2020/9/9,14500,14.5
2020/9/10,14510,14.51
2020/9/11,14460,14.46
2020/9/14,14570,14.57
2020/9/15,14630,14.63
2020/9/16,14550,14.55
2020/9/17,14505,14.505
2020/9/18,14640,14.64
2020/9/21,14665,14.665
2020/9/22,14525,14.525
2020/9/23,14345,14.345
2020/9/24,13940,13.94
2020/9/25,14090,14.09
2020/9/28,14295,14.295
2020/9/29,14400,14.4
2020/9/30,14385,14.385
2020/10/9,14675,14.675
2020/10/12,14805,14.805
2020/10/13,14835,14.835
2020/10/14,14875,14.875
2020/10/15,15000,15
2020/10/16,14710,14.71
2020/10/19,14800,14.8
2020/10/20,14750,14.75
2020/10/21,14720,14.72
2020/10/22,14725,14.725
2020/10/23,14725,14.725
2020/10/26,14740,14.74
2020/10/27,14715,14.715
2020/10/28,14585,14.585
2020/10/29,14630,14.63
2020/10/30,14625,14.625
2020/11/2,14950,14.95
2020/11/3,14950,14.95
2020/11/4,14945,14.945
2020/11/5,15045,15.045
2020/11/6,15045,15.045
2020/11/9,15115,15.115
2020/11/10,15215,15.215
2020/11/11,15395,15.395
2020/11/12,15550,15.55
2020/11/13,15700,15.7
2020/11/16,15550,15.55
2020/11/17,15390,15.39
2020/11/18,15785,15.785
2020/11/19,15755,15.755
2020/11/20,15960,15.96
2020/11/23,15865,15.865
2020/11/24,15880,15.88
2020/11/25,16060,16.06
2020/11/26,16005,16.005
2020/11/27,16240,16.24
2020/11/30,16720,16.72
2020/12/1,16820,16.82
2020/12/2,17000,17
2020/12/3,16405,16.405
2020/12/4,16555,16.555
2020/12/7,16285,16.285
2020/12/8,16310,16.31
2020/12/9,16200,16.2
2020/12/10,16505,16.505
2020/12/11,16315,16.315
2020/12/14,16450,16.45
2020/12/15,16435,16.435
2020/12/16,16370,16.37
2020/12/17,16515,16.515
2020/12/18,16780,16.78
2020/12/21,16280,16.28
2020/12/22,15840,15.84
2020/12/23,15890,15.89
2020/12/24,16100,16.1
2020/12/25,16980,16.98
2020/12/28,15805,15.805
2020/12/29,15570,15.57
2020/12/30,15710,15.71
2020/12/31,15680,15.68
2021/1/4,15615,15.615
2021/1/5,15575,15.575
2021/1/6,15585,15.585
2021/1/7,15530,15.53
2021/1/8,15530,15.53
2021/1/11,15230,15.23
2021/1/12,15135,15.135
2021/1/13,14735,14.735
2021/1/14,14795,14.795
2021/1/15,14920,14.92
2021/1/18,14960,14.96
2021/1/19,14760,14.76
2021/1/20,14810,14.81
2021/1/21,14965,14.965
2021/1/22,14900,14.9
2021/1/25,14965,14.965
2021/1/26,14850,14.85
2021/1/27,14900,14.9
2021/1/28,14865,14.865
2021/1/29,15020,15.02
2021/2/1,15270,15.27
2021/2/2,15060,15.06
2021/2/3,15080,15.08
2021/2/4,15355,15.355
2021/2/5,15480,15.48
2021/2/8,15780,15.78
2021/2/9,15865,15.865
2021/2/10,15900,15.9
2021/2/18,16510,16.51
2021/2/19,16485,16.485
2021/2/22,16715,16.715
2021/2/23,16720,16.72
2021/2/24,16670,16.67
2021/2/25,17480,17.48
2021/2/26,17465,17.465
2021/3/1,17035,17.035
2021/3/2,16915,16.915
2021/3/3,17640,17.64
2021/3/4,17200,17.2
2021/3/5,17265,17.265
2021/3/8,17330,17.33
2021/3/9,17060,17.06
2021/3/10,17225,17.225
2021/3/11,17600,17.6
2021/3/12,17305,17.305
2021/3/15,17625,17.625
2021/3/16,17630,17.63
2021/3/17,17740,17.74
2021/3/18,17500,17.5
2021/3/19,17430,17.43
2021/3/22,17540,17.54
2021/3/23,17100,17.1
